trade_code;trade_name;isin;id_market
TGKB;"Публичное акционерное общество ""Территориальная генерирующая компания №2""";RU000A0JNGS7;1
TGKD;"Публичное акционерное общество ""Квадра - Генерирующая компания""";RU000A0JNMZ0;1
TGKN;"Публичное акционерное общество ""Территориальная генерирующая компания № 14""";RU000A0H1ES3;1
TNSE;"Публичное акционерное общество Группа компаний ""ТНС энерго""";RU000A0JUCQ5;1
TORS;"Публичное акционерное общество ""Томская распределительная компания""";RU000A0ETZF2;1
TRCN;"Публичное акционерное общество ""ТрансКонтейнер""";RU000A0JPRX9;1
TRFM;"Публичное акционерное общество ""ТрансФин-М""";RU000A0JUGP8;1
TRMK;"Публичное акционерное общество ""Трубная Металлургическая Компания""";RU000A0B6NK6;1
TTLK;"Публичное акционерное общество ""Таттелеком""";RU000A0HM5C1;1
TUZA;"Публичное акционерное общество ""Туймазинский завод автобетоновозов""";RU000A0HL7A2;1
UCSS;"Публичное акционерное общество ""Объединенные Кредитные Системы""";RU000A0JTQK0;1
UKUZ;"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""";RU0005294775;1
UNAC;"Публичное акционерное общество ""Объединенная авиастроительная корпорация""";RU000A0JPLZ7;1
UNKL;"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""";RU0004887991;1
UPRO;"Публичное акционерное общество ""Юнипро""";RU000A0JNGA5;1
URKA;"Публичное акционерное общество ""Уралкалий""";RU0007661302;1
URKZ;"Публичное акционерное общество ""Уральская кузница""";RU000A0JPFY2;1
USBN;"Публичное акционерное общество ""БАНК УРАЛСИБ""";RU0006929536;1
UTAR;"Публичное акционерное общество ""Авиакомпания ""ЮТэйр""";RU0007661385;1
UWGN;"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""";RU000A0JVBT9;1
VGSB;"Публичное акционерное общество ""Волгоградэнергосбыт""";RU000A0D8L73;1
VJGZ;"Публичное акционерное общество ""ННК-Варьеганнефтегаз""";RU0009046460;1
VLHZ;"Публичное акционерное общество ""Владимирский химический завод""";RU0007984761;1
VRSB;"Публичное акционерное общество ""ТНС энерго Воронеж""";RU000A0DPG67;1
VSMO;"публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""";RU0009100291;1
VSYD;"Публичное акционерное общество ""Выборгский судостроительный завод""";RU0006334372;1
VTBR;Банк ВТБ (публичное акционерное общество);RU000A0JP5V6;1
WTCM;"Публичное акционерное общество ""Центр международной торговли""";RU0008137070;1
YAKG;"Публичное акционерное общество ""Якутская топливно-энергетическая компания""";RU0007796819;1
YKEN;"Публичное акционерное общество ""Якутскэнерго""";RU0009257075;1
YRSB;"Публичное акционерное общество ""ТНС энерго Ярославль""";RU000A0D8760;1
ZILL;"Публичное акционерное общество ""Завод имени И.А. Лихачева""";RU0009086193;1
ZVEZ;"Публичное акционерное общество ""ЗВЕЗДА""";RU0009091300;1
